StockCode,Stock,LastUpdated
21367,1689,2025-05-28
22376,125,2025-05-12
21895,2562,2025-05-13
22372,9244,2025-05-07
21190,1832,2025-05-14
21894,14317,2025-05-22
70007,12426,2025-05-08
46000,6346,2025-05-24
22712,11871,2025-05-19
22983,6886,2025-05-23
22024,14088,2025-05-07
21488,7782,2025-04-29
22895,13526,2025-05-03
22784,9569,2025-05-17
21441,16746,2025-05-13
84947,18334,2025-04-29
22485,11867,2025-05-19
21794,828,2025-05-26
20707,5514,2025-05-06
22588,8693,2025-05-21
21292,4839,2025-04-30
22760,13921,2025-05-20
22107,11664,2025-05-27
21486,5332,2025-05-11
22151,414,2025-05-20
22643,18128,2025-04-29
22642,1286,2025-05-05
22604,10291,2025-05-02
22099,5401,2025-05-07
22653,686,2025-05-15
22906,11862,2025-05-03
22754,16567,2025-05-28
22919,3396,2025-05-24
22917,7842,2025-05-18
22920,18296,2025-05-15
22921,6640,2025-05-06
22918,1673,2025-05-26
22916,886,2025-05-03
22575,8241,2025-05-13
21804,5778,2025-05-19
21588,3057,2025-05-15
22955,8289,2025-05-19
22583,938,2025-05-09
22241,9775,2025-05-07
22904,18511,2025-04-29
22905,18566,2025-05-04
22092,12152,2025-05-19
22096,10449,2025-05-06
21358,2590,2025-05-17
21123,4422,2025-05-26
21427,15062,2025-05-16
21930,13832,2025-05-20
20772,1941,2025-05-27
71406,11605,2025-05-17
84985,7610,2025-05-11
20754,1555,2025-05-28
84596,15656,2025-05-13
21111,14389,2025-05-19
22501,17299,2025-05-21
22854,14239,2025-05-03
84997,15526,2025-05-06
47599,5342,2025-05-25
47599,8069,2025-05-15
20972,10331,2025-04-30
21041,15259,2025-05-08
21664,1095,2025-05-12
22907,330,2025-05-03
22776,4768,2025-05-06
21810,17506,2025-05-02
21197,13536,2025-05-23
85035,13968,2025-05-05
84968,5139,2025-05-12
21098,13006,2025-05-05
21192,15016,2025-05-21
72800,1917,2025-05-09
84563,5457,2025-05-16
47504,4783,2025-05-17
21742,6216,2025-05-24
22481,11334,2025-05-01
22943,17190,2025-05-11
22699,5909,2025-05-22
22217,4082,2025-05-17
22227,19428,2025-05-12
21106,4365,2025-05-25
21107,5925,2025-05-11
22697,6464,2025-05-04
21826,13838,2025-05-11
22548,9130,2025-05-11
17164,3988,2025-05-24
22429,17866,2025-05-14
20974,8052,2025-05-11
20973,3863,2025-05-23
15044,8889,2025-05-24
21135,447,2025-05-22
22173,745,2025-05-15
22626,2742,2025-05-14
22625,18468,2025-05-05
22624,1443,2025-05-05
84945,2705,2025-05-23
22244,10294,2025-05-26
47421,10927,2025-05-05
20712,13275,2025-05-22
22973,3236,2025-05-13
84569,9791,2025-05-15
22815,8865,2025-05-26
85114,14350,2025-05-25
22584,10135,2025-05-02
22454,9726,2025-05-18
85114,9001,2025-05-01
22974,6432,2025-05-17
21452,16542,2025-05-13
22743,16264,2025-05-05
22911,3550,2025-04-30
22453,13605,2025-05-08
22445,3853,2025-05-07
22607,11955,2025-05-16
22635,7524,2025-05-27
22634,6973,2025-05-03
22222,16236,2025-05-05
22947,2937,2025-05-16
22187,7586,2025-05-03
22164,2904,2025-05-16
72598,2140,2025-05-03
22627,19186,2025-05-02
22487,15308,2025-05-10
22360,13529,2025-05-15
22364,5746,2025-05-24
21657,16885,2025-05-24
22120,9839,2025-04-30
21038,19574,2025-04-30
21625,9759,2025-04-29
22097,5580,2025-05-15
21179,9298,2025-04-29
22185,10387,2025-05-27
21662,7859,2025-05-17
85104,8701,2025-05-15
21654,10677,2025-05-11
21658,17402,2025-05-22
21519,4080,2025-05-23
22819,6847,2025-05-21
22704,9867,2025-05-21
21498,654,2025-05-01
22049,8344,2025-05-17
21497,6102,2025-05-28
21333,10363,2025-05-10
22194,19316,2025-05-01
22688,10093,2025-05-17
84692,7591,2025-05-28
22444,5061,2025-05-21
22555,10396,2025-04-29
22547,275,2025-05-13
22543,3938,2025-05-15
22539,14675,2025-05-15
22561,14002,2025-05-10
22489,2303,2025-05-22
22814,10073,2025-05-27
21520,14951,2025-05-20
21982,17011,2025-04-29
21981,9471,2025-05-18
21967,1049,2025-05-04
22615,6585,2025-05-13
22614,1454,2025-05-27
22095,11469,2025-04-29
22094,13805,2025-05-24
22966,3070,2025-05-03
21874,18638,2025-05-03
21873,12505,2025-05-21
21870,888,2025-05-10
84050,289,2025-05-26
22315,14528,2025-05-17
22667,9520,2025-05-19
22666,1765,2025-05-03
22665,3043,2025-05-18
22567,2047,2025-05-07
82600,378,2025-05-12
22842,10128,2025-05-27
22494,13989,2025-05-05
22740,8753,2025-05-01
22825,19214,2025-05-11
22680,115,2025-05-14
22797,13390,2025-05-10
21843,14826,2025-05-24
22118,12453,2025-05-25
22121,5755,2025-05-19
22119,3879,2025-05-17
22311,4585,2025-05-14
72817,18433,2025-05-09
22277,11581,2025-05-09
20867,3221,2025-05-20
21688,8768,2025-05-02
21694,8137,2025-05-12
22800,3572,2025-05-21
22801,14406,2025-05-16
22781,11067,2025-05-01
21466,13771,2025-05-11
21467,6847,2025-05-13
21471,6167,2025-05-23
21469,4701,2025-05-11
21524,9615,2025-05-06
22791,17529,2025-05-23
21690,7292,2025-05-01
37343,7064,2025-05-03
22088,13062,2025-05-21
21143,16992,2025-05-19
84944,17514,2025-05-26
22601,16622,2025-05-23
22600,4273,2025-05-02
22574,6369,2025-05-07
85199,4876,2025-05-23
85199,19796,2025-05-08
72741,9751,2025-05-27
37495,616,2025-05-11
22171,8295,2025-05-03
85067,8731,2025-05-21
48184,5536,2025-05-14
48138,10230,2025-05-15
85019,19342,2025-05-27
85019,17755,2025-05-26
20902,2451,2025-05-02
21429,471,2025-05-27
85071,6220,2025-05-10
85071,19206,2025-05-10
22355,8916,2025-05-12
21579,10703,2025-05-19
21576,4598,2025-05-05
22493,12073,2025-05-18
21833,1006,2025-05-18
85135,8330,2025-05-07
85136,12469,2025-05-05
85136,10207,2025-05-19
21055,5080,2025-05-28
21056,18144,2025-05-08
C2,12705,2025-05-15
21928,8098,2025-05-21
20711,1430,2025-05-05
21773,1753,2025-05-24
21774,6837,2025-05-15
21787,16832,2025-05-17
21801,14697,2025-05-24
21802,6408,2025-05-27
21803,8697,2025-05-23
21809,14215,2025-05-14
21821,1226,2025-05-22
21822,8182,2025-05-01
21851,16730,2025-05-24
21879,3068,2025-05-05
21884,16511,2025-05-14
21888,12886,2025-05-11
21911,18080,2025-05-25
21922,19824,2025-05-20
21935,364,2025-05-01
21942,12657,2025-05-24
21944,7850,2025-05-26
21949,7391,2025-05-28
21990,2731,2025-04-29
21991,11119,2025-05-23
21993,7262,2025-05-05
22037,17677,2025-05-27
22043,13697,2025-05-22
22065,3583,2025-05-11
22067,785,2025-05-11
22069,8064,2025-05-19
22071,7716,2025-05-18
22076,1747,2025-05-19
22080,14037,2025-05-13
22081,7348,2025-05-24
22090,19106,2025-05-17
22134,5715,2025-04-30
22135,13555,2025-05-11
22154,6045,2025-04-30
22155,10895,2025-05-17
22156,9413,2025-05-01
22161,7022,2025-05-09
22162,15201,2025-05-09
22169,6917,2025-05-11
22182,6945,2025-05-06
22190,6875,2025-05-08
22203,19037,2025-05-19
22207,790,2025-05-14
22265,2488,2025-05-19
22276,16175,2025-05-17
22299,13444,2025-05-10
22300,12336,2025-05-23
22301,13209,2025-05-17
22309,4378,2025-05-08
22314,12648,2025-05-16
22335,11931,2025-05-08
22336,14094,2025-05-24
22345,2987,2025-05-12
22348,1322,2025-05-16
22356,12674,2025-05-15
22359,16533,2025-05-21
22361,15715,2025-05-20
22375,11727,2025-05-15
22378,19855,2025-04-29
22380,2291,2025-05-14
22394,6721,2025-05-18
22396,11376,2025-05-27
22419,14583,2025-05-03
22422,1035,2025-05-01
22430,788,2025-05-12
22432,987,2025-05-07
22437,6459,2025-05-25
22471,12314,2025-05-07
22476,9932,2025-05-11
22477,8931,2025-05-18
22478,16529,2025-05-14
22479,9399,2025-05-08
22497,8057,2025-05-25
22515,8697,2025-05-06
22517,8046,2025-05-10
22519,16157,2025-05-15
22545,13375,2025-05-02
22550,2983,2025-05-08
22560,19782,2025-05-16
22589,10012,2025-05-12
22605,2860,2025-05-13
22639,13215,2025-05-23
22669,10435,2025-05-21
22675,562,2025-05-13
22734,19705,2025-05-12
22741,3924,2025-05-24
22755,18410,2025-05-27
22757,16690,2025-05-05
22758,9192,2025-05-23
22769,8797,2025-05-12
22792,6179,2025-05-25
22816,19920,2025-05-27
22818,2988,2025-05-16
22822,9775,2025-05-02
22844,17531,2025-05-24
22847,358,2025-05-18
22862,2725,2025-05-10
22876,10016,2025-05-16
22928,9189,2025-05-15
22948,13792,2025-05-15
22949,7851,2025-05-11
22976,6329,2025-05-16
35095,1074,2025-05-19
35095,11407,2025-05-03
35471,12357,2025-05-12
35598,9387,2025-05-04
35599,11920,2025-05-03
35610,17129,2025-05-02
35818,18274,2025-05-12
35957,8207,2025-04-30
35961,5165,2025-05-06
35971,14573,2025-05-11
37449,12094,2025-05-06
37476,16539,2025-05-02
47559,14588,2025-05-12
47591,12165,2025-05-01
47591,1533,2025-05-03
47593,12571,2025-05-24
48188,18705,2025-05-12
71459,6203,2025-05-21
72586,3696,2025-05-07
72799,14260,2025-05-03
72799,16616,2025-05-11
72807,18711,2025-05-02
72807,8402,2025-05-17
72807,13492,2025-05-08
72816,3173,2025-05-11
79030,16521,2025-05-14
79030,17827,2025-05-19
82551,1929,2025-05-05
82583,19459,2025-05-01
82613,14864,2025-05-11
82613,15906,2025-04-29
82613,17248,2025-05-01
84031,8816,2025-05-10
84031,11906,2025-05-08
84032,7857,2025-05-05
84086,3074,2025-05-10
84279,2103,2025-05-17
85015,17865,2025-04-30
85016,1818,2025-05-06
85017,11776,2025-05-16
85017,12703,2025-05-21
85032,1802,2025-05-13
85039,9935,2025-05-18
85048,12604,2025-05-06
85064,19815,2025-05-25
85127,16146,2025-05-05
85129,9887,2025-05-27
85131,12516,2025-05-26
85132,16913,2025-05-27
85135,1465,2025-05-14
85176,18320,2025-05-15
85177,8824,2025-05-09
85178,19302,2025-05-10
85186,10141,2025-05-02
85232,5809,2025-05-15
90003,6466,2025-05-17
90018,1960,2025-05-11
90022,7549,2025-05-12
90071,6230,2025-04-30
90099,1770,2025-04-29
90116,9726,2025-05-05
90120,5053,2025-05-20
90129,6837,2025-05-03
90129,4958,2025-05-02
90161,5341,2025-05-04
90190,9776,2025-05-03
90194,4663,2025-05-22
90209,4959,2025-05-03
90214,3081,2025-05-15
90214,9319,2025-05-15
90214,961,2025-05-15
90214,16873,2025-04-29
90214,5144,2025-05-24
DOT,1617,2025-05-01
84534,14172,2025-05-20
84535,14150,2025-05-02
84536,4662,2025-05-24
84536,4531,2025-05-27
84580,11153,2025-05-04
84581,3953,2025-05-09
84598,4148,2025-05-23
84912,16315,2025-04-29
84913,16764,2025-05-21
84913,18215,2025-05-16
84923,4179,2025-05-14
84946,12527,2025-05-17
84988,11416,2025-05-13
20856,16346,2025-05-16
20854,7043,2025-05-23
21218,681,2025-05-18
22845,8173,2025-05-24
11001,19280,2025-05-24
16236,2539,2025-05-05
17003,9272,2025-05-10
17011,11608,2025-05-15
17012,7922,2025-05-24
17012,14810,2025-05-08
17012,13405,2025-05-15
17012,13868,2025-05-19
17012,1454,2025-05-05
17012,4495,2025-05-26
17129,11703,2025-05-03
18098,18592,2025-05-01
20622,6536,2025-05-27
20658,11171,2025-05-08
20662,14051,2025-05-28
20676,13740,2025-05-15
20684,11677,2025-05-03
20719,13769,2025-05-16
20724,16224,2025-05-17
20733,18286,2025-05-26
20735,5703,2025-05-17
20770,6128,2025-05-16
20835,16432,2025-05-02
20839,2620,2025-05-04
20840,4569,2025-05-21
20956,13213,2025-05-16
20969,8259,2025-05-14
20971,2378,2025-05-21
20975,9867,2025-05-26
20981,7627,2025-05-02
20996,9629,2025-05-04
21000,2086,2025-05-03
21012,12598,2025-05-12
21069,17995,2025-05-26
21070,18258,2025-05-23
21147,1278,2025-05-11
21158,11922,2025-05-23
21165,12353,2025-05-24
21174,1477,2025-05-10
21189,4225,2025-05-28
21191,12538,2025-05-08
21195,5947,2025-05-06
21207,9027,2025-05-06
21216,15621,2025-05-22
21217,17443,2025-05-01
21231,11618,2025-05-22
21238,2359,2025-05-08
21249,17406,2025-05-12
21262,2088,2025-05-11
21313,846,2025-05-10
21349,19534,2025-05-05
21352,8360,2025-05-28
21354,16229,2025-05-11
21365,9024,2025-04-29
21366,6993,2025-05-10
21369,9651,2025-05-25
21372,19866,2025-05-05
21385,2035,2025-05-27
21407,7180,2025-05-25
21408,15531,2025-05-15
21507,6582,2025-05-10
21563,12562,2025-05-18
21564,16350,2025-05-05
21634,18613,2025-05-13
21641,4996,2025-05-28
21679,15126,2025-05-26
21703,15321,2025-05-01
21704,12751,2025-05-28
21721,15841,2025-05-16
21722,3763,2025-04-29
21758,7160,2025-05-06
21134,7273,2025-05-18
22145,9328,2025-05-18
37509,7571,2025-05-09
22892,2791,2025-05-05
22245,18564,2025-05-24
20957,16753,2025-05-12
85226,19247,2025-05-19
85044,4603,2025-05-15
79144,18572,2025-04-29
22482,8154,2025-05-07
21917,7162,2025-05-10
20950,2512,2025-05-07
37461,19902,2025-05-18
84670,7039,2025-05-14
20697,6199,2025-05-14
22599,4940,2025-05-08
22597,12564,2025-05-01
21495,15495,2025-05-08
46000,19136,2025-05-20
46000,10888,2025-05-10
84920,19059,2025-05-25
22953,3823,2025-05-23
84508,11783,2025-04-29
21670,3682,2025-05-22
22786,19460,2025-05-01
22212,6474,2025-05-16
22678,18224,2025-05-01
22686,585,2025-05-18
84685,3137,2025-05-19
20616,1646,2025-05-14
22753,13280,2025-05-13
79066,1147,2025-05-20
22794,17586,2025-05-23
22592,17161,2025-05-14
84352,11042,2025-05-06
22795,4794,2025-05-11
22278,5987,2025-05-18
